County,Total Capacity (MW),Unique Technologies,Unique Energy Sources,City_x,Plant Name,Plant Type,Flood Risk,Wind Vulnerability,Coastal Proximity,Historical Outages,Population 2023,Date (UTC),Pressure (mb),Wind Speed (kt),Category,X,Y,City_y,Unnamed: 8,Unnamed: 9,N_RI,H_RI,lat,lon,Hurricane Proximity,Norm Hurricane Risk Index,Norm Population,Norm Energy Capacity,Norm Risk Index,Norm Hurricane Proximity,Risk Score
Brevard,20886.6,5.0,3.0,"Cocoa, Titusville, Merritt Island, Sebastian, Palm Bay, Merrit Island","Cape Canaveral, Indian River Plant, Space Coast Next Gen Solar Energy, Barefoot Bay Solar Energy Center, Palm Bay Solar, Discovery Solar Center","Natural Gas Fired Combined Cycle, Natural Gas Fired Combustion Turbine, Solar Photovoltaic","Low, High",Low,"No, Yes",Unknown,3863874.0,08/20/2008 06Z,992.0,50.0,TS,28.0,-80.6,Melbourne,,,99.36,99.7,28.3245,-80.7354,15.684480813901965,0.9923664122137409,0.6554048008017528,1.0,0.9955387783115993,0.8792965503562415,0.9139175940108603
Pasco,9047.0,4.0,3.0,"Holiday, Spring Hill, Shady Hills, Dade City, Zephyrhills","Anclote, Pasco Cnty Solid Waste Resource Recovery, Shady Hills Generating Station, Mountain View Solar (FL), Juniper Solar (FL)","Natural Gas Steam Turbine, Municipal Solid Waste, Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,3164980.0,09/11/2017 06Z,961.0,65.0,H1,28.2,-82.2,Zephyrhills,,,99.05,99.6,28.2299,-82.3662,16.620660163408942,0.9847328244274807,0.5362848540474114,0.433148525849109,0.9849004804392588,0.8660233188023777,0.7806083895007695
Orange,9168.0,4.0,4.0,"Orlando, Rio Pinar, Lake Buena Vista, Bay Lake","Stanton Energy Center, Rio Pinar, Central Energy Plant, Citrus Ridge Solar","Conventional Steam Coal, Natural Gas Fired Combined Cycle, Solar Photovoltaic",Low,Low,No,Unknown,5885664.0,08/20/2008 12Z,994.0,45.0,TS,28.4,-80.6,Orlando,,,98.57,99.1,28.5383,-81.3792,77.70248066538544,0.946564885496183,1.0,0.4389417138260895,0.9684282772820865,0.0,0.7651615344524123
Volusia,13297.6,4.0,3.0,"DeBary, Enterprise, New Smyrna Beach, Daytona Beach","Sanford, G E Turner, Smith Street, Daytona International Speedway Solar","Natural Gas Fired Combined Cycle, Solar Photovoltaic","Low, High","Low, High","No, Yes",Unknown,2361428.0,08/21/2008 19Z,993.0,55.0,TS,29.3,-81.1,Daytona,,,97.52,98.2,29.0278,-81.075,30.364445364356733,0.8778625954198477,0.3993269298781605,0.6366569953941762,0.9323953328757721,0.6711627469527441,0.7280520469841522
Lee,5479.8,4.0,3.0,"Ft. Myers, Fort Myers","Fort Myers, Lee County Solid Waste Energy","Natural Gas Fired Combined Cycle, Municipal Solid Waste","Low, High","Low, High","No, Yes",Unknown,1669146.0,09/11/2017 00Z,942.0,80.0,H1,26.8,-81.7,Fort Myers,,,99.49,99.8,26.663,-81.9535,29.425519536858744,1.0,0.28133393669322987,0.2623595989773348,1.0,0.6844749183084222,0.6854974980688112
Collier,157.0,2.0,2.0,"Naples, Immokalee","Waste Management Naples LFGTE Project, Immokalee","Landfill Gas, Solar Photovoltaic","High, Low","High, Low","Yes, No",Unknown,808620.0,09/10/2017 18Z,936.0,100.0,H3,25.6,-81.7,(Cape Romano),,,98.85,99.5,26.1693,-81.4262,25.785314301569656,0.9770992366412216,0.13466532700316763,0.007516781094098609,0.9780370624571036,0.7360860620673879,0.6039138591786382
Alachua,4776.5,7.0,4.0,"Gainesville, Archer, Micanopy, High Springs, Newberry","Deerhaven Generating Station, South West Landfill, Micanopy Energy Storage Facility, High Springs Solar Power Plant, Gilchrist County Solar","Natural Gas Steam Turbine, Batteries, Solar Photovoltaic",Low,Low,No,Unknown,1429970.0,09/11/2017 12Z,970.0,50.0,TS,29.6,-82.7,Newberry,,,93.83,95.9,29.6575,-82.3018,11.444214529403727,0.7022900763358784,0.240568624092297,0.22868729233096818,0.8057652711050104,0.9394154114204459,0.5752903398949232
Bay,2657.4,3.0,3.0,"Southport, Panama City, Youngstown","Lansing Smith, WestRock Panama City Mill, FPL Saw Palmetto Solar Energy Center","Natural Gas Fired Combined Cycle, Solar Photovoltaic","Low, High","Low, High","No, Yes",Unknown,572307.0,08/23/2008 12Z,998.0,40.0,TS,30.0,-85.2,Panama,,,97.49,98.7,30.1811,-85.6848,41.035463575095726,0.9160305343511455,0.09438798597955224,0.12722989859527162,0.9313658201784488,0.5198681304871828,0.5663096264773547
Monroe,550.0,1.0,1.0,"Big Pine Key, Marathon, Cudjoe Key, Stock Island","Big Pine, Marathon Generating Plant, Cudjoe, Stock Island",Petroleum Liquids,"High, Low",Low,"Yes, No",Unknown,322456.0,09/10/2017 12Z,931.0,115.0,H4,24.5,-81.5,(Florida Keys),,,95.93,97.9,24.6366,-81.513,7.171099840159567,0.8549618320610692,0.05180321945341388,0.02633267262263844,0.8778311599176394,1.0,0.563839413765951
Leon,753.7,4.0,2.0,Tallahassee,Arvah B Hopkins,Natural Gas Fired Combined Cycle,Low,Low,No,Unknown,296913.0,08/30/2023  11Z,950.0,100.0,H3,30.3,-84.3,Tallahassee,,,94.56,96.2,30.4394,-84.2807,15.610768992051595,0.7251908396946568,0.047449653962872915,0.03608533701033199,0.8308167467398767,0.8803416429233788,0.5067620734736673
Santa Rosa,1612.4,3.0,2.0,"Pace, Navarre, Milton, TBD","Pea Ridge, Gulf Coast Solar Center II, Blackwater River Solar Energy Center, Big Juniper Solar","Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,812648.0,08/24/2008 00Z,999.0,30.0,TD,30.8,-86.7,Milton,,,95.51,97.3,30.651,-87.2276,53.08288092048168,0.8091603053435114,0.1353518619362569,0.07719782061225859,0.8634179821551136,0.3490588083892786,0.502331770262315
Taylor,5.1,1.0,1.0,Perry,Buckeye Florida LP,,Low,Low,No,Unknown,21582.0,08/30/2023 11Z,960.0,100.0,H3,29.9,-83.6,(Keaton Beach),,,74.01,88.2,30.2726,-83.6047,24.219975599437785,0.11450381679389318,0.000522059707063657,0.00024417569159173826,0.12560054907343893,0.7582795691817703,0.14511234207523388
Madison,0.0,,,Lee,Winquepin Renewable Energy Center,,Low,Low,No,Unknown,18519.0,08/30/2023 14Z,954.0,100.0,H3,30.4,-83.4,Madison,,,70.35,86.7,30.4767,-83.4066,8.552090009700601,0.0,0.0,0.0,0.0,0.9804202022789958,0.10908537432981305
